from,to,weight
469aazzl,NA,-1
vnnwzoon,NA,-1
kffjpkwm,NA,-1
y68rafkq,NA,-1
cg5akdum,NA,NA
39grl1tb,NA,0
cl6iwdzj,NA,-1
fyzi3ukn,NA,-1
lvtt31qo,NA,-1
yyx7zv50,NA,-1
e1h602xs,NA,-1
guoa029e,NA,-1
xxkx1e1g,NA,0
ezfvh1yd,NA,-1
zan8z6cj,NA,-1
isrmkgxn,NA,-1
9g3466ce,NA,-1
ctvn5bcc,NA,-1
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,-1
5y5w27n8,NA,-1
b98i0q0c,NA,NA
e442rd3v,NA,0
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,-1
8qkm4op5,NA,-1
NA,NA,NA
qtd4nwnf,NA,0
tpx46qea,NA,-1
js5eao29,NA,-1
pv34xizl,NA,-1
zo8vfvom,NA,-1
nxb120ab,NA,-1
ywj7r6yv,NA,0
ky74qsy5,NA,-1
u6iy9n7v,NA,-1
ttgp5d1q,NA,-1
rsqgxgj7,NA,-1
23mbj83y,NA,0
100,NA,NA
w76lz2ap,NA,-1
fake0,u6iy9n7v,NA
NA,u6iy9n7v,NA
fake,u6iy9n7v,NA
ny7i65xf,u6iy9n7v,0
0ty8p249,u6iy9n7v,-1
wo215i77,u6iy9n7v,-1
NA,u6iy9n7v,NA
we8zkaxp,u6iy9n7v,-1
8qy1knb8,u6iy9n7v,-1
469aazzl,u6iy9n7v,-1
vnnwzoon,u6iy9n7v,-1
kffjpkwm,u6iy9n7v,-1
y68rafkq,u6iy9n7v,-1
cg5akdum,u6iy9n7v,NA
39grl1tb,u6iy9n7v,-1
cl6iwdzj,u6iy9n7v,NA
fyzi3ukn,u6iy9n7v,-1
lvtt31qo,u6iy9n7v,-1
yyx7zv50,u6iy9n7v,-1
e1h602xs,u6iy9n7v,-1
guoa029e,u6iy9n7v,-1
xxkx1e1g,u6iy9n7v,0
ezfvh1yd,u6iy9n7v,-1
zan8z6cj,u6iy9n7v,-1
isrmkgxn,u6iy9n7v,-1
9g3466ce,u6iy9n7v,-1
ctvn5bcc,u6iy9n7v,-1
b98i0q0c,u6iy9n7v,NA
NA,u6iy9n7v,NA
rmdv0zae,u6iy9n7v,-1
5y5w27n8,u6iy9n7v,-1
b98i0q0c,u6iy9n7v,NA
e442rd3v,u6iy9n7v,-1
gcfrvnrq,u6iy9n7v,NA
9njhgqjt,u6iy9n7v,NA
b8h8uy0d,u6iy9n7v,-1
8qkm4op5,u6iy9n7v,-1
NA,u6iy9n7v,NA
qtd4nwnf,u6iy9n7v,-1
tpx46qea,u6iy9n7v,-1
js5eao29,u6iy9n7v,-1
pv34xizl,u6iy9n7v,-1
zo8vfvom,u6iy9n7v,0
nxb120ab,u6iy9n7v,-1
ywj7r6yv,u6iy9n7v,0
ky74qsy5,u6iy9n7v,1
u6iy9n7v,u6iy9n7v,1
ttgp5d1q,u6iy9n7v,-1
rsqgxgj7,u6iy9n7v,1
23mbj83y,u6iy9n7v,1
100,u6iy9n7v,1
w76lz2ap,u6iy9n7v,-1
fake0,13211,NA
NA,13211,NA
fake,13211,NA
ny7i65xf,13211,-1
0ty8p249,13211,-1
wo215i77,13211,0
NA,13211,NA
we8zkaxp,13211,-1
8qy1knb8,13211,-1
469aazzl,13211,-1
vnnwzoon,13211,-1
kffjpkwm,13211,-1
y68rafkq,13211,-1
cg5akdum,13211,NA
39grl1tb,13211,0
cl6iwdzj,13211,NA
fyzi3ukn,13211,-1
lvtt31qo,13211,-1
yyx7zv50,13211,-1
e1h602xs,13211,-1
guoa029e,13211,-1
xxkx1e1g,13211,-1
ezfvh1yd,13211,-1
zan8z6cj,13211,-1
isrmkgxn,13211,-1
9g3466ce,13211,-1
ctvn5bcc,13211,-1
b98i0q0c,13211,NA
NA,13211,NA
rmdv0zae,13211,-1
5y5w27n8,13211,-1
b98i0q0c,13211,NA
e442rd3v,13211,0
gcfrvnrq,13211,NA
9njhgqjt,13211,NA
b8h8uy0d,13211,-1
8qkm4op5,13211,-1
NA,13211,NA
qtd4nwnf,13211,0
tpx46qea,13211,-1
js5eao29,13211,-1
pv34xizl,13211,-1
zo8vfvom,13211,0
nxb120ab,13211,-1
ywj7r6yv,13211,0
ky74qsy5,13211,-1
u6iy9n7v,13211,-1
ttgp5d1q,13211,-1
rsqgxgj7,13211,-1
23mbj83y,13211,-1
100,13211,NA
w76lz2ap,13211,-1
fake0,ttgp5d1q,NA
NA,ttgp5d1q,NA
fake,ttgp5d1q,NA
ny7i65xf,ttgp5d1q,-1
0ty8p249,ttgp5d1q,-1
wo215i77,ttgp5d1q,1
NA,ttgp5d1q,NA
we8zkaxp,ttgp5d1q,-1
8qy1knb8,ttgp5d1q,0
469aazzl,ttgp5d1q,-1
vnnwzoon,ttgp5d1q,0
kffjpkwm,ttgp5d1q,0
y68rafkq,ttgp5d1q,-1
cg5akdum,ttgp5d1q,NA
39grl1tb,ttgp5d1q,1
cl6iwdzj,ttgp5d1q,NA
fyzi3ukn,ttgp5d1q,1
lvtt31qo,ttgp5d1q,-1
yyx7zv50,ttgp5d1q,0
e1h602xs,ttgp5d1q,0
guoa029e,ttgp5d1q,0
xxkx1e1g,ttgp5d1q,1
ezfvh1yd,ttgp5d1q,-1
zan8z6cj,ttgp5d1q,1
isrmkgxn,ttgp5d1q,-1
9g3466ce,ttgp5d1q,0
ctvn5bcc,ttgp5d1q,1
b98i0q0c,ttgp5d1q,NA
NA,ttgp5d1q,NA
rmdv0zae,ttgp5d1q,0
5y5w27n8,ttgp5d1q,0
b98i0q0c,ttgp5d1q,NA
e442rd3v,ttgp5d1q,0
gcfrvnrq,ttgp5d1q,NA
9njhgqjt,ttgp5d1q,NA
b8h8uy0d,ttgp5d1q,0
8qkm4op5,ttgp5d1q,0
NA,ttgp5d1q,NA
qtd4nwnf,ttgp5d1q,-1
tpx46qea,ttgp5d1q,0
js5eao29,ttgp5d1q,1
pv34xizl,ttgp5d1q,1
zo8vfvom,ttgp5d1q,1
nxb120ab,ttgp5d1q,0
ywj7r6yv,ttgp5d1q,0
ky74qsy5,ttgp5d1q,1
