from,to,weight
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,NA,NA
e1h602xs,NA,NA
guoa029e,NA,NA
xxkx1e1g,kffjpkwm,1
ezfvh1yd,NA,NA
zan8z6cj,NA,NA
isrmkgxn,NA,NA
9g3466ce,NA,NA
ctvn5bcc,NA,NA
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,NA,NA
b98i0q0c,NA,NA
e442rd3v,NA,NA
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,b8h8uy0d,1
NA,NA,NA
qtd4nwnf,rmdv0zae,1
tpx46qea,NA,NA
js5eao29,NA,NA
pv34xizl,NA,NA
zo8vfvom,NA,NA
nxb120ab,NA,NA
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,NA,NA
100,NA,NA
w76lz2ap,zan8z6cj,1
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,NA,NA
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,NA,NA
8qy1knb8,NA,NA
469aazzl,NA,NA
vnnwzoon,NA,NA
kffjpkwm,NA,NA
y68rafkq,2gm2vp7w,1
cg5akdum,NA,NA
39grl1tb,NA,NA
cl6iwdzj,NA,NA
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,NA,NA
e1h602xs,NA,NA
guoa029e,NA,NA
xxkx1e1g,we8zkaxp,1
ezfvh1yd,NA,NA
zan8z6cj,NA,NA
isrmkgxn,NA,NA
9g3466ce,NA,NA
ctvn5bcc,NA,NA
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,NA,NA
b98i0q0c,NA,NA
e442rd3v,NA,NA
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,9njhgqjt,1
NA,NA,NA
qtd4nwnf,NA,NA
tpx46qea,NA,NA
js5eao29,NA,NA
pv34xizl,NA,NA
zo8vfvom,NA,NA
nxb120ab,NA,NA
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,NA,NA
100,NA,NA
w76lz2ap,b98i0q0c,1
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,NA,NA
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,NA,NA
8qy1knb8,NA,NA
469aazzl,NA,NA
vnnwzoon,NA,NA
kffjpkwm,NA,NA
y68rafkq,ezfvh1yd,1
cg5akdum,NA,NA
39grl1tb,NA,NA
cl6iwdzj,NA,NA
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,NA,NA
e1h602xs,NA,NA
guoa029e,NA,NA
xxkx1e1g,NA,NA
ezfvh1yd,NA,NA
zan8z6cj,NA,NA
isrmkgxn,NA,NA
9g3466ce,NA,NA
ctvn5bcc,NA,NA
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,NA,NA
b98i0q0c,NA,NA
e442rd3v,NA,NA
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,vnnwzoon,1
NA,NA,NA
qtd4nwnf,NA,NA
tpx46qea,NA,NA
js5eao29,NA,NA
pv34xizl,NA,NA
zo8vfvom,NA,NA
nxb120ab,NA,NA
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,NA,NA
100,NA,NA
w76lz2ap,NA,NA
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,NA,NA
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,NA,NA
8qy1knb8,NA,NA
469aazzl,NA,NA
vnnwzoon,NA,NA
kffjpkwm,NA,NA
y68rafkq,gcfrvnrq,1
cg5akdum,NA,NA
39grl1tb,NA,NA
cl6iwdzj,NA,NA
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,NA,NA
e1h602xs,NA,NA
guoa029e,NA,NA
xxkx1e1g,NA,NA
ezfvh1yd,NA,NA
zan8z6cj,NA,NA
isrmkgxn,NA,NA
9g3466ce,NA,NA
ctvn5bcc,NA,NA
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,NA,NA
b98i0q0c,NA,NA
e442rd3v,NA,NA
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,299wzuz4,1
NA,NA,NA
qtd4nwnf,NA,NA
tpx46qea,NA,NA
js5eao29,NA,NA
pv34xizl,NA,NA
zo8vfvom,NA,NA
nxb120ab,NA,NA
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,NA,NA
100,NA,NA
w76lz2ap,NA,NA
