"rt,""stimulus"",""key_press"",""type"",""part"",""color"",""position"",""trial_type"",""trial_index"",""time_elapsed"",""internal_node_id"",""subject"",""accuracy"""
"443.99499997962266,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""83"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""141"",""139555"",""0.0-3.0-0.1-1.56"",""afge"",""false"""
"1465.7449999940582,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""76"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""143"",""141528"",""0.0-3.0-0.1-1.57"",""afge"",""false"""
"724.4649999774992,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""145"",""142759"",""0.0-3.0-0.1-1.58"",""afge"",""true"""
"581.9950000150129,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""147"",""143861"",""0.0-3.0-0.1-1.59"",""afge"",""true"""
"521.6699999873526,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""149"",""144887"",""0.0-3.0-0.1-1.60"",""afge"",""true"""
"517.9749999660999,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""151"",""145913"",""0.0-3.0-0.1-1.61"",""afge"",""true"""
"533.1099999602884,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""153"",""146956"",""0.0-3.0-0.1-1.62"",""afge"",""true"""
"717.6750000216998,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""155"",""148179"",""0.0-3.0-0.1-1.63"",""afge"",""true"""
"435.41999999433756,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""157"",""149132"",""0.0-3.0-0.1-1.64"",""afge"",""true"""
"372.5149999954738,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""159"",""150019"",""0.0-3.0-0.1-1.65"",""afge"",""true"""
"500.49000000581145,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""161"",""151024"",""0.0-3.0-0.1-1.66"",""afge"",""true"""
"334.03999998699874,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""163"",""151862"",""0.0-3.0-0.1-1.67"",""afge"",""true"""
"496.7750000068918,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""165"",""152873"",""0.0-3.0-0.1-1.68"",""afge"",""true"""
"271.70500002102926,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""167"",""153655"",""0.0-3.0-0.1-1.69"",""afge"",""true"""
"486.670000012964,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""169"",""154648"",""0.0-3.0-0.1-1.70"",""afge"",""true"""
"327.95499998610467,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""171"",""155486"",""0.0-3.0-0.1-1.71"",""afge"",""true"""
"433.1399999791756,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""174"",""162483"",""0.0-3.0-0.2-1.72"",""afge"",""true"""
